,Neighborhood code,Neighborhood name,Venue,Venue Latitude,Venue Longitude,Venue Category
157,401,RECOLETOS           ,47 Ronin,40.42363274392369,-3.682222366333008,Japanese Restaurant
158,401,RECOLETOS           ,New York Burger,40.42212085931879,-3.6907109051907323,Burger Joint
159,401,RECOLETOS           ,Lobito De Mar,40.423855,-3.686605,Restaurant
160,401,RECOLETOS           ,Pimiento Verde La Parrilla,40.426799,-3.685195,Spanish Restaurant
161,401,RECOLETOS           ,Lateral,40.42857398167269,-3.683809286285776,Tapas Restaurant
162,401,RECOLETOS           ,Taberna Entreamigos,40.42454750339608,-3.6814606189727783,Spanish Restaurant
163,401,RECOLETOS           ,Banzai,40.421920385467324,-3.69024558983566,Japanese Restaurant
164,401,RECOLETOS           ,Restaurante Étimo by Begoña Fraire,40.42785,-3.684686,Restaurant
165,401,RECOLETOS           ,Fina Catalina,40.422657,-3.6817908,Restaurant
166,401,RECOLETOS           ,Morao Tapas (Velázquez 40),40.42607440305179,-3.6840643595362312,Tapas Restaurant
167,401,RECOLETOS           ,Mamá Chicó,40.421703,-3.6898375,Restaurant
168,401,RECOLETOS           ,La Pulperia De Mila,40.42203262387365,-3.685751546291989,Seafood Restaurant
169,401,RECOLETOS           ,El Café de Hermosilla,40.426299018988686,-3.6828567869507394,Diner
170,401,RECOLETOS           ,Taberna Entreamigos,40.42453267331625,-3.68153777558552,Restaurant
171,401,RECOLETOS           ,Viena Capellanes,40.425158412454756,-3.6835110420467725,Bakery
172,401,RECOLETOS           ,Restaurante Arriba,40.42611581141628,-3.688686425222892,Restaurant
173,401,RECOLETOS           ,Embassy,40.42793307135779,-3.6893031783914862,Restaurant
174,401,RECOLETOS           ,Real Cake,40.425245200216295,-3.685007786794961,Bakery
175,401,RECOLETOS           ,Casa Maravillas,40.423484820686944,-3.6802941755901672,Spanish Restaurant
176,401,RECOLETOS           ,il Tavolo Verde,40.421247714546425,-3.6897906719062594,Café
177,401,RECOLETOS           ,Mesón Cinco Jotas,40.42367592022975,-3.686304079277754,Spanish Restaurant
178,401,RECOLETOS           ,Bentley's,40.421659936297836,-3.6829374682338556,Burger Joint
179,401,RECOLETOS           ,Huerta de Carabaña,40.42367,-3.6853929,Bistro
180,401,RECOLETOS           ,La Colonial de Goya,40.42365374630107,-3.682915143794234,Mediterranean Restaurant
181,401,RECOLETOS           ,Mestizo,40.42186515547031,-3.6899437827061177,Mexican Restaurant
182,401,RECOLETOS           ,Taberna O'Caldiño,40.42862829920971,-3.6849950288285167,Spanish Restaurant
183,401,RECOLETOS           ,Monsieur Sushita,40.428356,-3.683655,Japanese Restaurant
184,401,RECOLETOS           ,Estay,40.4261372864522,-3.6820402724484205,Restaurant
185,401,RECOLETOS           ,Granier Panes Artesanos,40.42612240825011,-3.6814513534620255,Bakery
186,401,RECOLETOS           ,Al-Mounia,40.42216889899502,-3.690675378543083,Moroccan Restaurant
187,401,RECOLETOS           ,Cafetería Restaurante Galatea,40.42339014666213,-3.6803421491182915,Snack Place
188,401,RECOLETOS           ,La Vanduca,40.421204207597896,-3.688275844438335,Restaurant
189,501,EL VISO             ,Urrechu Velázquez,40.44304421047054,-3.6823403835296635,Mediterranean Restaurant
190,501,EL VISO             ,Restaurante Masterchef,40.44331638311548,-3.6824244261060812,Theme Restaurant
191,501,EL VISO             ,Bar Alonso,40.443215774127495,-3.680264763184298,Tapas Restaurant
192,501,EL VISO             ,Jai-Alai,40.446323,-3.6895897,Mediterranean Restaurant
193,501,EL VISO             ,El reloj de Arena,40.44640332656783,-3.6892827878105403,Restaurant
194,501,EL VISO             ,Lobbo,40.44280687366822,-3.680855116094007,Spanish Restaurant
195,501,EL VISO             ,Fitz Burger,40.4434346,-3.6799227,Burger Joint
196,501,EL VISO             ,Taberna Vella Cardeño,40.44313519711014,-3.6800231535316152,Spanish Restaurant
197,501,EL VISO             ,The Hall,40.44298340940248,-3.6821592529444844,Restaurant
198,501,EL VISO             ,Bar Veracruz,40.442294003288886,-3.682435772433368,Snack Place
199,501,EL VISO             ,Telepizza,40.442934,-3.682051,Pizza Place
200,501,EL VISO             ,Casa de Aragon,40.44564668171934,-3.6851689929329123,Spanish Restaurant
201,501,EL VISO             ,Arturo,40.444935440485516,-3.6848889477155238,Tapas Restaurant
202,501,EL VISO             ,Pasteleria Balaguer,40.44606751852666,-3.685042502766902,Diner
203,501,EL VISO             ,Foster Hollywood,40.4435407916325,-3.6849434349384236,American Restaurant
204,501,EL VISO             ,CSIC - Cafetería,40.4412528863119,-3.687911993924076,Café
205,501,EL VISO             ,magariño's café,40.442578278011624,-3.6860939409172957,Diner
206,501,EL VISO             ,Oceanika Restaurante,40.442844,-3.6820986,New American Restaurant
207,501,EL VISO             ,La Hiedra,40.44274761885126,-3.680862009205336,Café
208,501,EL VISO             ,Cerveceria Marpi,40.443245029653866,-3.680305563345231,Tapas Restaurant
209,501,EL VISO             ,Ata Club,40.44294831440452,-3.682402483605653,Gastropub
210,501,EL VISO             ,Bar Deportivo,40.44345757,-3.67986359,Food
211,501,EL VISO             ,Juancho’s BBQ,40.444039,-3.679354,BBQ Joint
212,601,BELLAS VISTAS       ,Casa Adriano,40.45463827645724,-3.7056536128559414,Seafood Restaurant
213,601,BELLAS VISTAS       ,Naveira do Mar,40.45242816342607,-3.7075493603702516,Seafood Restaurant
214,601,BELLAS VISTAS       ,La Miguiña,40.451368255752776,-3.701523125195277,Bakery
215,601,BELLAS VISTAS       ,Ondiñas do Mendo,40.45688307624961,-3.7051649232278328,Tapas Restaurant
216,601,BELLAS VISTAS       ,La Taberna de Domínguez,40.45061401519829,-3.7045180530846267,Spanish Restaurant
217,601,BELLAS VISTAS       ,Restaurante Los Aros,40.4555588417803,-3.70344962508991,Spanish Restaurant
218,601,BELLAS VISTAS       ,Gaztemanu,40.452916057547895,-3.7085107205820207,Spanish Restaurant
219,601,BELLAS VISTAS       ,Dersim Evin Kebap & Pizza,40.456504,-3.705875,Kebab Restaurant
220,601,BELLAS VISTAS       ,El Gañán,40.45282033617687,-3.702115258821998,Tapas Restaurant
221,601,BELLAS VISTAS       ,La Antigua Churreria,40.45467453551918,-3.7027773238431676,Breakfast Spot
222,601,BELLAS VISTAS       ,Taberna Terras Galegas,40.45463543703032,-3.70711817648895,Spanish Restaurant
223,601,BELLAS VISTAS       ,Panaderia Granier,40.45043889998574,-3.7033058088683313,Bakery
224,601,BELLAS VISTAS       ,La Esquina Caribeña,40.44886736414621,-3.7047410422433593,Latin American Restaurant
225,601,BELLAS VISTAS       ,Mesón Los Aros II,40.450431,-3.706047,Spanish Restaurant
226,601,BELLAS VISTAS       ,KFC,40.45341204559263,-3.7028332778548085,Fast Food Restaurant
227,601,BELLAS VISTAS       ,"Tony Roma's Ribs, Seafood, & Steaks",40.45290734685947,-3.7128148654494617,Steakhouse
228,601,BELLAS VISTAS       ,Dunkin' Coffee Bravo Murillo,40.45121203533531,-3.7035769969415924,Donut Shop
229,601,BELLAS VISTAS       ,Domino's Pizza,40.456285083015814,-3.7048440719104705,Pizza Place
230,601,BELLAS VISTAS       ,Cafeteria Estrecho,40.45325077266848,-3.7030092306907907,Café
231,601,BELLAS VISTAS       ,Hakuna Matata Veggie,40.45314883,-3.70974127,Vegetarian / Vegan Restaurant
232,601,BELLAS VISTAS       ,Pizza Hut,40.454511912032935,-3.703269331947594,Pizza Place
233,601,BELLAS VISTAS       ,El Túnel,40.45274256425256,-3.701162361953318,Tapas Restaurant
234,601,BELLAS VISTAS       ,Levadura Madre,40.455721,-3.704375,Bakery
235,601,BELLAS VISTAS       ,Le Moulin De Elisa,40.45608826147156,-3.704760863549449,Breakfast Spot
236,601,BELLAS VISTAS       ,Istanbul Döner Kebap,40.45466158377322,-3.7027300459265957,Kebab Restaurant
237,601,BELLAS VISTAS       ,Burger King,40.449848281172805,-3.710324506091537,Fast Food Restaurant
238,601,BELLAS VISTAS       ,Subway,40.450091,-3.703384,Sandwich Place
239,601,BELLAS VISTAS       ,Condado de Salvatierra,40.45546,-3.703309,Spanish Restaurant
240,601,BELLAS VISTAS       ,Iguazu,40.451604,-3.702063,BBQ Joint
241,601,BELLAS VISTAS       ,Bar La Pampa,40.45660522846821,-3.7050318717956543,Tapas Restaurant
242,601,BELLAS VISTAS       ,El Paraíso del Jamón II,40.4493159278484,-3.703454277209037,Tapas Restaurant
243,601,BELLAS VISTAS       ,Casa Eladio,40.448699951171875,-3.7060089111328125,Spanish Restaurant
244,601,BELLAS VISTAS       ,El Café De Numancia,40.45545600483278,-3.7113189003222944,Café
245,601,BELLAS VISTAS       ,La Villa,40.45692117331602,-3.708363514811487,Café
246,601,BELLAS VISTAS       ,Restaurante Central,40.44987337730841,-3.702947246175553,Chinese Restaurant
247,601,BELLAS VISTAS       ,Tradicionarius,40.455275,-3.702462,Bakery
248,601,BELLAS VISTAS       ,Entre Naranjos,40.4531698,-3.7128948,Restaurant
249,701,GAZTAMBIDE          ,Membibre,40.434911771333695,-3.7131862406723166,Spanish Restaurant
250,701,GAZTAMBIDE          ,Orsomatto,40.434012899977404,-3.7156319618225093,Italian Restaurant
251,701,GAZTAMBIDE          ,Nakeima,40.43312196252797,-3.715377171396666,Dumpling Restaurant
252,701,GAZTAMBIDE          ,Kiyota,40.43656143412312,-3.716410946304532,Japanese Restaurant
253,701,GAZTAMBIDE          ,Cafetería HD,40.435980028882575,-3.713077234932736,Diner
254,701,GAZTAMBIDE          ,Tierra,40.436012441733304,-3.7130278899697866,Burrito Place
255,701,GAZTAMBIDE          ,The Little Big Cafe,40.43532948315671,-3.7127318786159136,Café
256,701,GAZTAMBIDE          ,Yunie,40.43315318080433,-3.716372970374963,Middle Eastern Restaurant
257,701,GAZTAMBIDE          ,Restaurante Sazadón,40.435872453254504,-3.7149724124416883,Spanish Restaurant
258,701,GAZTAMBIDE          ,The Toast,40.43430490522088,-3.7127575332843525,Sandwich Place
259,701,GAZTAMBIDE          ,Morikaen,40.43371774709571,-3.716857166244727,Japanese Restaurant
260,701,GAZTAMBIDE          ,Gandarío,40.43454557385298,-3.71556555925568,Tapas Restaurant
261,701,GAZTAMBIDE          ,The Toast Tavern,40.434334,-3.713418,Gastropub
262,701,GAZTAMBIDE          ,Café Green Bakery,40.43310992156063,-3.7147437615717265,Salad Place
263,701,GAZTAMBIDE          ,Kebab House,40.43324475957186,-3.7174664304669696,Kebab Restaurant
264,701,GAZTAMBIDE          ,La Taberna de Moncloa,40.43538325748008,-3.714360850378719,Tapas Restaurant
265,701,GAZTAMBIDE          ,Massart,40.43484490332323,-3.7183745415427265,Pizza Place
266,701,GAZTAMBIDE          ,Al Dente,40.43135917461102,-3.713408118794969,Pizza Place
267,701,GAZTAMBIDE          ,Alcaravea,40.438151437538444,-3.715269453763878,Restaurant
268,701,GAZTAMBIDE          ,Don Oso,40.43654975438844,-3.716466514689635,Burger Joint
269,701,GAZTAMBIDE          ,La Esquinita,40.4366085137942,-3.7165581965620746,Pizza Place
270,701,GAZTAMBIDE          ,Vergüenza Ajena,40.43480162754748,-3.710237416045244,Café
271,701,GAZTAMBIDE          ,Los Cinco,40.43521156390063,-3.713203583589892,Bakery
272,701,GAZTAMBIDE          ,El Nuevo Tendido 2,40.43249125083035,-3.71457057178404,Tapas Restaurant
273,701,GAZTAMBIDE          ,Casa Marco,40.431631974409356,-3.715734373598021,Italian Restaurant
274,701,GAZTAMBIDE          ,Grosso Napoletano,40.435355,-3.715338,Restaurant
275,701,GAZTAMBIDE          ,Tres Bocas,40.43156759683491,-3.7157823532620577,Mediterranean Restaurant
276,701,GAZTAMBIDE          ,Dimibang,40.43187781087614,-3.7159576593795856,Korean Restaurant
277,701,GAZTAMBIDE          ,La Lorena,40.4318393,-3.712739,Spanish Restaurant
278,701,GAZTAMBIDE          ,Los Chicos,40.433062982915295,-3.713394591001133,Spanish Restaurant
279,701,GAZTAMBIDE          ,Telepizza,40.43527359265715,-3.715459539215881,Pizza Place
280,701,GAZTAMBIDE          ,El Barril de Arguelles,40.43849691205614,-3.7141752786064632,Seafood Restaurant
281,701,GAZTAMBIDE          ,Don Oso,40.43309482583232,-3.715420459655161,Burger Joint
282,701,GAZTAMBIDE          ,Bósforos Döner Kebap,40.43525283941884,-3.7124036815936723,Middle Eastern Restaurant
283,701,GAZTAMBIDE          ,El Greco,40.43170907334707,-3.7116196105320047,Tapas Restaurant
284,701,GAZTAMBIDE          ,Pasta Pesto Pizza,40.43243761368886,-3.7132999585592916,Italian Restaurant
285,701,GAZTAMBIDE          ,Magerit,40.431842412913326,-3.7144972483609107,Spanish Restaurant
286,701,GAZTAMBIDE          ,Pintan Tapas,40.433446793508764,-3.7103656491484878,Spanish Restaurant
